Bi: 13806, Pp: 010101010101010, Tb: 13821
Bi: 10889, Pp: 101010101010101, Tb: 24725
Bi: 10637, Pp: 101010101010101, Tb: 35377
Bi: 186843, Pp: 010101010101010, Tb: 222235
Bi: 108092, Pp: 101010101010101, Tb: 330342
Bi: 53882, Pp: 101010101010101, Tb: 384239
Bi: 1695, Pp: 101010101010101, Tb: 385949
Bi: 33204, Pp: 01010101010101010, Tb: 419170
Bi: 10909, Pp: 10101010101010101, Tb: 430096
Bi: 32584, Pp: 010101010101010, Tb: 462695
Bi: 49755, Pp: 101010101010101, Tb: 512465
Bi: 29842, Pp: 101010101010101, Tb: 542322
Bi: 120486, Pp: 01010101010101010, Tb: 662825
Bi: 17922, Pp: 010101010101010, Tb: 680762
Bi: 20476, Pp: 010101010101010, Tb: 701253
Bi: 14978, Pp: 01010101010101010, Tb: 716248
Bi: 23900, Pp: 101010101010101, Tb: 740163
Bi: 59487, Pp: 010101010101010, Tb: 799665
Bi: 16404, Pp: 010101010101010, Tb: 816084
Bi: 74140, Pp: 101010101010101, Tb: 890239
Bi: 5966, Pp: 101010101010101, Tb: 896220
Bi: 9950, Pp: 010101010101010, Tb: 906185
Bi: 104038, Pp: 010101010101010, Tb: 1010238
Bi: 109039, Pp: 101010101010101010101, Tb: 1119298
Bi: 7659, Pp: 1010101010101010101, Tb: 1126976
Bi: 12543, Pp: 010101010101010, Tb: 1139534
Bi: 14869, Pp: 101010101010101, Tb: 1154418
Bi: 14786, Pp: 0101010101010101010, Tb: 1169223
Bi: 11476, Pp: 101010101010101, Tb: 1180714
Bi: 13537, Pp: 101010101010101, Tb: 1194266
Bi: 20037, Pp: 01010101010101010, Tb: 1214320
Bi: 40225, Pp: 010101010101010, Tb: 1254560
Bi: 33623, Pp: 010101010101010, Tb: 1288198
Bi: 18522, Pp: 010101010101010, Tb: 1306735
Bi: 37512, Pp: 101010101010101, Tb: 1344262
Bi: 257, Pp: 010101010101010, Tb: 1344534
Bi: 15229, Pp: 10101010101010101, Tb: 1359780
Bi: 40345, Pp: 101010101010101, Tb: 1400140
Bi: 1141, Pp: 010101010101010, Tb: 1401296
Bi: 48816, Pp: 101010101010101, Tb: 1450127
Bi: 13730, Pp: 101010101010101, Tb: 1463872
Bi: 5504, Pp: 010101010101010, Tb: 1469391
Bi: 21176, Pp: 10101010101010101, Tb: 1490584
Bi: 87629, Pp: 101010101010101, Tb: 1578228
Bi: 5048, Pp: 01010101010101010, Tb: 1583293
Bi: 14570, Pp: 101010101010101, Tb: 1597878
Bi: 45701, Pp: 1010101010101010101, Tb: 1643598
Bi: 48655, Pp: 101010101010101, Tb: 1692268
Bi: 19575, Pp: 101010101010101, Tb: 1711858
Bi: 4525, Pp: 101010101010101, Tb: 1716398
Bi: 54078, Pp: 101010101010101, Tb: 1770491
Bi: 27492, Pp: 1010101010101010101, Tb: 1798002
Bi: 16335, Pp: 101010101010101, Tb: 1814352
Bi: 10475, Pp: 101010101010101, Tb: 1824842
Bi: 11826, Pp: 010101010101010, Tb: 1836683
Bi: 1187, Pp: 10101010101010101, Tb: 1837887
Bi: 946, Pp: 010101010101010, Tb: 1838848
Bi: 18544, Pp: 101010101010101, Tb: 1857407
Bi: 5002, Pp: 01010101010101010, Tb: 1862426
Bi: 3798, Pp: 010101010101010, Tb: 1866239
Bi: 8473, Pp: 01010101010101010, Tb: 1874729
Bi: 15679, Pp: 101010101010101, Tb: 1890423
Bi: 11791, Pp: 010101010101010, Tb: 1902229
Bi: 7297, Pp: 010101010101010101010, Tb: 1909547
Bi: 27978, Pp: 10101010101010101, Tb: 1937542
Bi: 19981, Pp: 101010101010101, Tb: 1957538
Bi: 36442, Pp: 0101010101010101010, Tb: 1993999
Bi: 26556, Pp: 010101010101010, Tb: 2020570
Bi: 722, Pp: 101010101010101, Tb: 2021307
Bi: 45116, Pp: 101010101010101, Tb: 2066438
Bi: 71264, Pp: 101010101010101, Tb: 2137717
Bi: 64613, Pp: 101010101010101, Tb: 2202345
Bi: 22736, Pp: 101010101010101, Tb: 2225096
Bi: 14693, Pp: 101010101010101, Tb: 2239804
Bi: 161407, Pp: 010101010101010, Tb: 2401226
Bi: 37972, Pp: 010101010101010, Tb: 2439213
Bi: 64503, Pp: 101010101010101, Tb: 2503731
Bi: 27889, Pp: 010101010101010, Tb: 2531635
Bi: 88956, Pp: 010101010101010, Tb: 2620606
Bi: 62951, Pp: 010101010101010, Tb: 2683572
Bi: 18372, Pp: 010101010101010, Tb: 2701959
Bi: 23326, Pp: 01010101010101010, Tb: 2725302
Bi: 16674, Pp: 010101010101010, Tb: 2741991
Bi: 16847, Pp: 010101010101010, Tb: 2758853
Bi: 67766, Pp: 101010101010101, Tb: 2826634
Bi: 9412, Pp: 010101010101010, Tb: 2836061
Bi: 8732, Pp: 101010101010101, Tb: 2844808
Bi: 39521, Pp: 101010101010101, Tb: 2884344
Bi: 118102, Pp: 10101010101010101, Tb: 3002463
Bi: 35800, Pp: 010101010101010, Tb: 3038278
Bi: 23843, Pp: 10101010101010101, Tb: 3062138
Bi: 9255, Pp: 10101010101010101, Tb: 3071410
Bi: 10586, Pp: 101010101010101, Tb: 3082011
Bi: 92939, Pp: 01010101010101010, Tb: 3174967
Bi: 100392, Pp: 101010101010101, Tb: 3275374
Bi: 30258, Pp: 010101010101010, Tb: 3305647
Bi: 23043, Pp: 101010101010101, Tb: 3328705
Bi: 18385, Pp: 10101010101010101, Tb: 3347107
Bi: 13341, Pp: 010101010101010, Tb: 3360463
Bi: 7927, Pp: 010101010101010, Tb: 3368405
Bi: 31204, Pp: 101010101010101, Tb: 3399624
Bi: 55775, Pp: 101010101010101, Tb: 3455414
Bi: 9651, Pp: 101010101010101, Tb: 3465080
Bi: 86587, Pp: 0101010101010101010, Tb: 3551686
Bi: 15333, Pp: 101010101010101, Tb: 3567034
Bi: 113385, Pp: 010101010101010, Tb: 3680434
Bi: 22410, Pp: 101010101010101, Tb: 3702859
Bi: 17257, Pp: 10101010101010101, Tb: 3720133
Bi: 43187, Pp: 010101010101010, Tb: 3763335
Bi: 62841, Pp: 010101010101010, Tb: 3826191
Bi: 35236, Pp: 010101010101010, Tb: 3861442
Bi: 2871, Pp: 101010101010101, Tb: 3864328
Bi: 25415, Pp: 010101010101010, Tb: 3889758
Bi: 463, Pp: 101010101010101, Tb: 3890236
Bi: 4504, Pp: 101010101010101, Tb: 3894755
Bi: 23113, Pp: 010101010101010, Tb: 3917883
Bi: 1328, Pp: 010101010101010, Tb: 3919226
Bi: 4624, Pp: 10101010101010101, Tb: 3923867
Bi: 11928, Pp: 10101010101010101, Tb: 3935812
Bi: 12497, Pp: 010101010101010, Tb: 3948324
Bi: 60670, Pp: 010101010101010, Tb: 4009009
Bi: 7113, Pp: 10101010101010101, Tb: 4016139
Bi: 6134, Pp: 101010101010101, Tb: 4022288
Bi: 20394, Pp: 101010101010101, Tb: 4042697
Bi: 2173, Pp: 010101010101010, Tb: 4044885
Bi: 43781, Pp: 101010101010101, Tb: 4088681
Bi: 99456, Pp: 010101010101010, Tb: 4188152
Bi: 23, Pp: 01010101010101010, Tb: 4188192
Bi: 1688, Pp: 10101010101010101, Tb: 4189897
Bi: 30860, Pp: 010101010101010, Tb: 4220772
Bi: 10977, Pp: 101010101010101, Tb: 4231764
Bi: 16374, Pp: 101010101010101, Tb: 4248153
Bi: 37266, Pp: 101010101010101, Tb: 4285434
Bi: 20674, Pp: 01010101010101010, Tb: 4306125
Bi: 78220, Pp: 010101010101010, Tb: 4384360
Bi: 40370, Pp: 101010101010101, Tb: 4424745
Bi: 4461, Pp: 01010101010101010, Tb: 4429223
Bi: 433, Pp: 010101010101010, Tb: 4429671
Bi: 4827, Pp: 010101010101010, Tb: 4434513
Bi: 20529, Pp: 101010101010101, Tb: 4455057
Bi: 3863, Pp: 010101010101010, Tb: 4458935
Bi: 26729, Pp: 101010101010101, Tb: 4485679
Bi: 4850, Pp: 101010101010101, Tb: 4490544
Bi: 81478, Pp: 010101010101010, Tb: 4572037
Bi: 37233, Pp: 101010101010101, Tb: 4609285
Bi: 10242, Pp: 101010101010101, Tb: 4619542
Bi: 15098, Pp: 010101010101010, Tb: 4634655
Bi: 13558, Pp: 101010101010101, Tb: 4648228
Bi: 34609, Pp: 010101010101010, Tb: 4682852
Bi: 100990, Pp: 101010101010101, Tb: 4783857
Bi: 67233, Pp: 010101010101010, Tb: 4851105
Bi: 35309, Pp: 010101010101010, Tb: 4886429
Bi: 90423, Pp: 010101010101010, Tb: 4976867
Bi: 19515, Pp: 10101010101010101, Tb: 4996399
Bi: 4099, Pp: 101010101010101, Tb: 5000513
Bi: 19697, Pp: 010101010101010, Tb: 5020225
Bi: 30898, Pp: 101010101010101, Tb: 5051138
Bi: 8162, Pp: 101010101010101, Tb: 5059315
Bi: 13149, Pp: 101010101010101, Tb: 5072479
Bi: 34477, Pp: 010101010101010, Tb: 5106971
Bi: 66294, Pp: 010101010101010, Tb: 5173280
